record_id,label,method,global_f1,global_sensitivity,global_ppv,global_lag_ms,local_f1,local_sensitivity,local_ppv,local_lag_ms,lag_iqr_ms,hr_mae_bpm
mimic_perform_af_001,AF,current_scipy,0.8188504494688096,0.8164041281912005,0.8213114754098361,112.00000000008004,0.8057749931898666,0.8033677349266702,0.8081967213114755,105.99999999999454,12.999999999937728,0.95
mimic_perform_af_001,AF,neurokit_elgendi,0.8159912376779848,0.8093427485062467,0.8227498619547211,111.99999999999477,0.8044906900328587,0.7979359043997827,0.8111540585311983,107.99999999994725,17.999999999936733,1.6
mimic_perform_af_002,AF,current_scipy,0.9937522969496508,0.991929567131328,0.9955817378497791,663.9999999999873,0.992282249173098,0.9904622157006603,0.9941089837997055,667.9999999999744,26.00000000003365,1.35
mimic_perform_af_002,AF,neurokit_elgendi,0.9941176470588236,0.991929567131328,0.9963154016212233,663.9999999999873,0.9926470588235294,0.9904622157006603,0.9948415622697127,663.999999999973,16.000000000055024,1.2
mimic_perform_af_003,AF,current_scipy,0.998282377189969,0.9979395604395604,0.9986254295532646,503.9999999999907,0.9969082789419443,0.9965659340659341,0.9972508591065292,500.0000000000284,8.000000000016882,0.95
mimic_perform_af_003,AF,neurokit_elgendi,0.998281196287384,0.9972527472527473,0.9993117687543015,504.0000000000191,0.9969061533172913,0.9958791208791209,0.9979353062629044,504.0000000000191,1.9999999999882334,0.95
mimic_perform_af_004,AF,current_scipy,0.7640032948929161,0.7507082152974505,0.7777777777777778,271.9999999999345,0.7648270181219111,0.7515176042088223,0.7786163522012579,271.99999999996294,2.0000000000379714,6.1
mimic_perform_af_004,AF,neurokit_elgendi,0.7206776715899218,0.6713881019830028,0.7777777777777778,264.00000000001,0.7206776715899218,0.6713881019830028,0.7777777777777778,263.9999999999816,4.000000000019099,16.9
mimic_perform_af_005,AF,current_scipy,0.9834254143646408,0.9865399841646872,0.980330448465775,679.9999999998363,0.9818468823993686,0.9849564528899446,0.978756884343037,675.9999999999309,7.999999999856982,1.7
mimic_perform_af_005,AF,neurokit_elgendi,0.9873116574147501,0.9857482185273159,0.988880063542494,672.0000000000255,0.9857256145915939,0.9841646872525732,0.9872915011914217,672.0000000000255,7.048583938740194e-12,1.6
mimic_perform_af_006,AF,current_scipy,0.8905842200361372,0.8530769230769231,0.9315413691726165,216.00000000000819,0.8905842200361372,0.8530769230769231,0.9315413691726165,215.99999999999397,6.000000000049965,11.05
mimic_perform_af_006,AF,neurokit_elgendi,0.8495389773679799,0.7796153846153846,0.9332412523020258,216.00000000000819,0.8470243084660519,0.7773076923076923,0.9304788213627992,216.00000000000108,8.000000000006224,21.4
mimic_perform_af_007,AF,current_scipy,0.9501838849882982,0.9233268356075374,0.9786501377410468,719.9999999999989,0.759612169842862,0.7381416504223521,0.7823691460055097,720.0000000000131,71.99999999999568,4.85
mimic_perform_af_007,AF,neurokit_elgendi,0.9681025978296612,0.9564652371669915,0.9800266311584553,719.9999999999989,0.8010522854324235,0.7914230019493177,0.810918774966711,720.0000000000131,126.00000000001182,2.25
