reference,comparison,label,n_subjects,median_f1,min_f1,median_sensitivity,median_ppv
current,neurokit,AF,19,0.9978703985397019,0.907654921020656,0.9986263736263736,0.9981740718198417
current,neurokit,Non-AF,16,0.9991401140846059,0.9605692262081234,0.998985125040728,0.9997118155619596
current,xqrs,AF,19,0.9993127147766323,0.8799794397327165,0.9987834549878345,0.9994340690435767
current,xqrs,Non-AF,16,0.9994232985394553,0.06261510128913443,0.9991351142932168,0.9994176979149008
neurokit,xqrs,AF,19,0.9979409746053535,0.7948931446017208,0.9978390059427337,0.9984536082474227
neurokit,xqrs,Non-AF,16,0.9996422148956181,0.05422057917436845,1.0,0.9992846952368191
