method,label,n_subjects,median_f1,median_sensitivity,median_ppv,median_hr_mae,median_ptt_ms
current_scipy,AF,19,0.8548387096774195,0.8329608938547486,0.8845802919708029,4.7,271.9999999999345
current_scipy,Non-AF,16,0.9907860570465904,0.9899202989913545,0.9910222367642803,1.1,619.9999999999903
neurokit_elgendi,AF,19,0.8371764705882353,0.8020739404869252,0.8822942643391521,4.65,264.00000000001
neurokit_elgendi,Non-AF,16,0.992052731602636,0.9896220363039265,0.9961254032591613,1.0,627.9999999999859
