method,label,n,global_f1,local_f1,local_sensitivity,local_ppv,lag_iqr_ms,f1_delta
current_scipy,AF,19,0.8548387096774195,0.8057749931898666,0.7907324364723468,0.8081967213114755,12.999999999937728,-0.04906371648755292
current_scipy,Non-AF,16,0.9907860570465904,0.9894004768397199,0.9868335734870317,0.9879398773682813,7.999999999892566,-0.001385580206870518
neurokit_elgendi,AF,19,0.8371764705882353,0.8010522854324235,0.7773076923076923,0.8111540585311983,13.999999999995794,-0.03612418515581184
neurokit_elgendi,Non-AF,16,0.992052731602636,0.9882704065777417,0.9821571730776193,0.9943835874270657,6.999999999990791,-0.003782325024894284
