Direction,Model,Accuracy,Recall (Sensitivity),Specificity,Precision,F1-Score,ROC-AUC,FN,FP,Best Params
MIMIC -> AFDB,Logistic Regression,0.938380098951666,0.9651474530831099,0.9214701067012928,0.885899434008695,0.9238270390488003,0.9721040780951491,390,1391,{'clf__C': 0.01}
MIMIC -> AFDB,Random Forest,0.9382763034979068,0.9563002680965147,0.926889854908824,0.8920473491163722,0.9230570171655309,0.984557978274087,489,1295,"{'clf__max_depth': 7, 'clf__n_estimators': 100}"
MIMIC -> AFDB,XGBoost,0.9456457807148047,0.9698838248436104,0.9303336532490262,0.8979068420617192,0.9325084847703742,0.9869949528393009,337,1234,"{'clf__learning_rate': 0.1, 'clf__max_depth': 5, 'clf__n_estimators': 150}"
AFDB -> MIMIC,Logistic Regression,0.9123486682808717,0.9701159678858162,0.84375,0.8805668016194332,0.9231748726655348,0.8760923963168479,67,295,{'clf__C': 0.1}
AFDB -> MIMIC,Random Forest,0.9186440677966101,0.9736842105263158,0.8532838983050848,0.8873983739837399,0.9285410463632496,0.9757302092940625,59,277,"{'clf__max_depth': 10, 'clf__n_estimators': 150}"
AFDB -> MIMIC,XGBoost,0.9145278450363196,0.9754683318465656,0.8421610169491526,0.8800804828973843,0.9253226147662366,0.9685406870379051,55,298,"{'clf__learning_rate': 0.05, 'clf__max_depth': 5, 'clf__n_estimators': 150}"
