HR_mean,Mean_NN,SDNN,RMSSD,pNN50,NN50,CV,LF,HF,LF_HF_Ratio,LF_norm,HF_norm,Total_Power,SD1,SD2,SampEn,status
-1.6917169287484732,2.053928780941827,-0.9977073893999919,-0.9349443323332305,-0.7277688009663968,-0.3135878471064183,-0.05260012252604798,-0.16125582075501071,-0.15064484763333727,0.38820199255974225,1.1547463243926799,1.571695336849953,-0.1629406799401769,-0.943043353799683,-0.9669372728360096,1.199725075217492,0
-1.6249534878705467,1.9236695946488789,-1.2102626454427623,-1.2125167709788323,-1.3080501674453258,-0.7954523462564291,-0.2132788610249457,-0.16899824581618123,-0.17354137388567617,1.0383841481103215,2.0205721729373756,1.1235787965046728,-0.1814839377328242,-1.2113198928212923,-1.1429882348875036,1.7021068686570942,0
-1.613817039755536,1.9024302889035765,-1.1514937860934904,-1.1700657419890275,-1.2044284948598025,-0.6990794464264269,-0.16540535830011927,-0.16360648567903568,-0.13552562959808995,0.1353467013055821,0.6827008525489513,1.8160070354251518,-0.15346561139002055,-1.1699910839331118,-1.0477012088828164,1.7021068686570942,0
-1.6452572744958793,1.9627473505367614,-1.1730388885943748,-1.1288331974925205,-1.0759376208537543,-0.6027065465964248,-0.1854369634153631,-0.1681103406329045,-0.145827003961149,0.14325424904735873,0.6990667936152729,1.8075366843696117,-0.16218709592815211,-1.1300700828650354,-1.108436461941264,1.7021068686570942,0
-1.627935678176017,1.92938046537798,-0.8351294638563647,-0.6833833637695996,-0.4210486501132486,-0.024469147616411856,0.0850996147840806,-0.09137522824461941,-0.04435719887240235,0.335620739162105,1.0646178223078568,1.6183422146356403,-0.0642664392154149,-0.6990715035403048,-0.8860201088355261,1.4342461247532905,0
-1.6112836875075844,1.8976177573902882,-1.1654745693591746,-1.1094626271148478,-0.9598813475579683,-0.5063336467664227,-0.17634919790984357,-0.1725136708030355,-0.13474108188521652,-0.037190507974492935,0.29454501463084387,2.016900842759557,-0.15623409666539328,-1.1113156603529382,-1.113670466354848,1.7021068686570942,0
-1.630745609145042,1.934770500672856,-1.2328141718353265,-1.1651542373542272,-1.0925170884674378,-0.6027065465964248,-0.2316841430393736,-0.18045379420422233,-0.17311982768102557,0.19232300884909312,0.7981109805107388,1.7562754076965852,-0.18544654335597704,-1.1652470396142725,-1.1956148276271295,1.4342461247532905,0
-1.5900274636199527,1.8575133281129015,-1.1459774339429916,-1.09164819241396,-0.8686942756827081,-0.4099607469364205,-0.15872087242631014,-0.14734364914364606,-0.14297974741580027,0.5718704528994998,1.4418521046336323,1.4231009640081653,-0.15253203909602014,-1.094104223148635,-1.103975673308524,1.7021068686570942,0
-1.5726956772546774,1.8251731163436153,-1.1746472050150019,-1.0841015462609058,-0.6448714628979784,-0.21721494727641616,-0.18025073279617337,-0.18343143001346016,-0.14759246385224653,-0.2139851417460354,-0.1764079927003447,2.2606471257622904,-0.169080945388166,-1.0874838125418693,-1.1684470339857602,1.632530846842412,0
-1.4306606517218057,1.5717216789221269,-0.8825670767576038,-0.7502164454685966,-1.2160055369003921,-0.6990794464264269,0.07819344321070923,-0.17439904992113797,-0.17559248903643537,0.8219844003605631,1.7750114217348107,1.25067113783225,-0.18489190936004984,-0.7638601478633661,-0.9177061346735458,0.4539019019288778,0
