HR_mean,Mean_NN,SDNN,RMSSD,pNN50,NN50,CV,LF,HF,LF_HF_Ratio,LF_norm,HF_norm,Total_Power,SD1,SD2,SampEn,status
0.14524766354246332,0.6509060379206603,0.08000159345036761,0.07936962147482526,0.25925925925925924,0.14893617021276595,0.07209475638400487,0.0011039820109065921,0.0011099850185168824,0.02623692539230904,0.30240611625025365,0.7171937478660121,0.0011082758821894369,0.07937853877855289,0.07975568248935506,0.4883245069059758,0
0.1572535433006328,0.6293570279157629,0.04790583788666505,0.03653023229414765,0.07407407407407407,0.0425531914893617,0.04572813633817287,0.0007814704259101245,0.00040985124295507373,0.05029842097310241,0.4600751495841639,0.5691585826985218,0.000515656180554728,0.03654897901467687,0.05278187420722765,0.6068261510845583,0
0.15925617910315804,0.6258433716046196,0.05677991129020532,0.04308194960761047,0.10714285714285714,0.06382978723404255,0.05358395141614139,0.001006064799638385,0.0015723029740835521,0.016879430079414535,0.21644546566405415,0.7979020444690846,0.0014110874140114546,0.04314700169940951,0.06738136256715344,0.6068261510845583,0
0.1536023710774248,0.6358217309172317,0.05352660974246965,0.04944561103312659,0.1481481481481481,0.0851063829787234,0.05029685988233897,0.0008184562159852904,0.0012573058410338428,0.017172067186445795,0.21942574410210713,0.7951038665295528,0.0011323594999310784,0.049520272009644206,0.058075755526585976,0.6068261510845583,0
0.15671726449665502,0.6303017874677018,0.1045507928230339,0.11819450728679544,0.35714285714285715,0.2127659574468085,0.0946906311586375,0.00401486593589887,0.004360066362842164,0.024291034405515565,0.28599349259916634,0.7326035300004345,0.004261783197421108,0.11832792652410513,0.09215347937185148,0.5436432511904858,0
0.1597117446353421,0.6250472259147831,0.05466881881176662,0.052435185239809036,0.1851851851851852,0.10638297872340426,0.05178811916398497,0.0006350350034825215,0.0015962930041111998,0.010494291294577506,0.1457613253714897,0.8642672536777427,0.0013226100312226526,0.052514360358734406,0.057273822779643484,0.6068261510845583,0
0.1562119625994003,0.6311934706403176,0.04450056674842282,0.04383997104352668,0.14285714285714285,0.0851063829787234,0.042707916723278797,0.00030428827194138857,0.0004227413526853923,0.018987970217688856,0.2374619360584912,0.7781697191018749,0.0003890161808120724,0.043904374410482984,0.044718642932836436,0.5436432511904858,0
0.16353419094355826,0.618412678499482,0.05761287817854279,0.055184591862847285,0.21428571428571427,0.1276595744680851,0.05468084389166743,0.0016834950809944485,0.0013443697236996434,0.033034001887055145,0.35468879054469316,0.668105641210443,0.0014409232357700413,0.05526211564532145,0.05875921931436936,0.6068261510845583,0
0.1666509168096838,0.6130625794637831,0.05328375462956125,0.056349310208577315,0.2857142857142857,0.1702127659574468,0.05114789576601424,0.0001802545180732754,0.0012033213158034795,0.003951596662179178,0.05999961528115705,0.9447887654154461,0.000912040554048334,0.05631904471104579,0.048881181146722186,0.5904145830538073,0
0.19219267163196996,0.571133655169198,0.09738773293663264,0.1078797641839945,0.10344827586206896,0.06382978723404255,0.0935573611096717,0.000556499324687519,0.0003471319038384521,0.042290047427759,0.41535792806446176,0.6111434996700184,0.0004067416008465805,0.10798461016787488,0.08729867610228861,0.3123999940049841,0
0.1678713567087422,0.6109819853943453,0.13098341403107014,0.14883202466627646,0.5,0.2978723404255319,0.11967120078218485,0.0032778739449143223,0.0044559521187883455,0.019405274630463095,0.2414987172196343,0.7743795927003939,0.004120537550888831,0.1488314422057347,0.1016612397072789,0.4883245069059758,0
0.1725819899182427,0.6030261899764434,0.044346500983196924,0.03574659959647958,0.0,0.0,0.043700688540008685,0.0007240352153532714,0.001013353255436904,0.018848069888971215,0.23609975579433418,0.7794486676444549,0.0009309805508470951,0.0357502810652013,0.05104796707930097,0.6068261510845583,0
0.17368909020786805,0.6011734704955641,0.06628336579447933,0.06226535818505152,0.17857142857142858,0.10638297872340426,0.06327288010872271,0.000558591713609229,0.0006926758220583656,0.02127318519298856,0.2590962355797836,0.7578573151047314,0.0006545002881294205,0.06167018484897557,0.04923694240805741,0.6309297535714575,0
0.15205069206941224,0.6385923179178626,0.0909854855067232,0.08311119997613159,0.3333333333333333,0.19148936170212766,0.0823312506138994,0.0007475351166510104,0.0015771760747240453,0.012503151097538218,0.1692350112942361,0.8422278531741297,0.0013409662292019312,0.08313052698574978,0.09307018365775861,0.33333333333333337,0
0.17103143641878837,0.6056318863586464,0.04593671451055384,0.04184315976133165,0.14285714285714285,0.0851063829787234,0.04500142582614377,0.00017090652627712146,0.0006554613658819292,0.006878276169729697,0.1002589040289829,0.9069893933175119,0.0005175021406335768,0.041876394605386696,0.04638852992848035,0.33333333333333337,0
0.16543518384136568,0.6151431735332208,0.04579202963085167,0.04115802130150998,0.07142857142857142,0.0425531914893617,0.04447718358802459,0.00011478649981059835,0.0006803544971708854,0.004450651756602727,0.06710023964355356,0.9381220022720865,0.0005193297454528671,0.04121826896468406,0.050626829588702474,0.42061983571430495,0
0.16752217770263955,0.6115764408427548,0.05220816437661585,0.046995174535815164,0.07142857142857142,0.0425531914893617,0.05027201073536093,0.0016635115215021317,0.0008715839729241481,0.05034827993984066,0.4603343156540912,0.5689152521525276,0.0010970563077868096,0.04695832719186073,0.055714488373527736,0.4883245069059758,0
0.16468699281975474,0.6164276219128245,0.12510403136565676,0.14071217530646266,0.4814814814814815,0.2765957446808511,0.11391613811994833,0.0027436553939315326,0.00702306013809821,0.010305551455717916,0.14349259564722033,0.8663973598396887,0.0058046565338517216,0.14091441684301764,0.11355646399368084,0.6068261510845583,0
0.16468699281975474,0.6164276219128245,0.04091831466131542,0.033405351657035204,0.037037037037037035,0.02127659574468085,0.040153942620519356,0.0006502436030162221,0.0002602873805211565,0.0659008530509832,0.5316333933403911,0.5019726793568391,0.00037131311783521567,0.033394145954286775,0.04652737233524174,0.6068261510845583,0
0.17481790367993344,0.599291028242264,0.03972911936482465,0.03861281753787213,0.10344827586206896,0.06382978723404255,0.03974358427348489,0.0004089523083009604,0.0006669959320223128,0.01617400374878363,0.20917428614182965,0.8047289415380571,0.0005935274708716767,0.03866361720944694,0.042057165715153395,0.5904145830538073,0
0.16164464981019577,0.6216821834657428,0.06301650129309126,0.05119786842474343,0.25,0.14893617021276595,0.05922758296182976,0.0002538336149430991,0.0011928849661381373,0.005613304870066278,0.08326024047078581,0.9229494072419654,0.0009255245225090287,0.051261178010396806,0.06830949736357225,0.6068261510845583,0
0.1805224716212781,0.5898788169757566,0.045384701208705504,0.04722986389370266,0.21428571428571427,0.1276595744680851,0.045179414917747934,0.0003201060151116307,0.0009569502652518541,0.008824142820598029,0.1252894357462198,0.8834882731632201,0.0007756322137700032,0.04728610149775239,0.04522846873017364,0.6068261510845583,0
0.17015046930561506,0.6071180249796767,0.041691210691207056,0.040731204018032804,0.07142857142857142,0.0425531914893617,0.041186698675270056,0.00028658959911863574,0.0008419416063177091,0.008979383373335675,0.12723060732111804,0.8816657107447652,0.0006838254832472457,0.04069865678378608,0.04025675989851318,0.6068261510845583,0
0.17395607997006568,0.6007276289092557,0.053946655305267356,0.047428108736936835,0.206896551724138,0.1276595744680851,0.05233075928577985,0.000719017332591157,0.0009222904940773428,0.020565519656388684,0.25251841937335817,0.7640332146328106,0.0008644159139880494,0.04749816781278562,0.05848015126467775,0.6068261510845583,0
0.1776274828565303,0.5946344605630457,0.04290486543727507,0.04199982544089462,0.07142857142857142,0.0425531914893617,0.04275857446103933,0.00011882755568715072,0.0005566363905846682,0.005631364375246102,0.08350713220461561,0.9227176010475392,0.0004319863763186855,0.041971782062877064,0.04288507143165309,0.21030991785715247,0
0.18641623894543535,0.5803278994379534,0.03655761615979782,0.031373792438754995,0.0,0.0,0.03759176764359304,0.0004223743874432002,0.00038756719049687333,0.02874872780438707,0.3225980514743746,0.6982355770524467,0.00039747726368426353,0.03142116566221397,0.0410787345456384,0.6068261510845583,0
0.2233347252443254,0.5242286433918678,0.19774383893102843,0.14707466760938026,0.22580645161290322,0.14893617021276595,0.19413799101975063,0.0009002427243313371,0.002982658264903378,0.007962036854764041,0.11436168755671416,0.8937483158230636,0.002389766787734715,0.14698239452671505,0.22790429611877155,0.29170471908707696,0
0.349510506435198,0.3709471327517685,0.17574007312009457,0.1770924619179662,0.21621621621621623,0.1702127659574468,0.2048508721070278,0.006302474606410452,0.003952808829287314,0.042060395712896645,0.4139780848138355,0.612439031958081,0.004621790013066382,0.17733782384102525,0.17696602910383688,0.11218608218141082,0
0.21917832045516872,0.5302415123125922,0.1176077804706331,0.09956695108679176,0.2,0.1276595744680851,0.11666150880705556,0.0003177221420260846,0.00036099543240340184,0.023217413471326453,0.2766324935495194,0.7413925547768627,0.0003486749495055346,0.09902002510662251,0.11199276678028013,0.2460468309523617,0
0.19412357752438492,0.5680962709018457,0.28871201052230105,0.35413593558659634,0.25925925925925924,0.14893617021276595,0.26931991818044737,0.009906948506130695,0.0319993346475642,0.0081670839193369,0.11698373240385437,0.89128648274262,0.025709337671273882,0.3546696332405435,0.22754377261252628,0.2003610568679424,0
0.20753568896799657,0.5474807203165094,0.31568400795695994,0.22577466567331175,0.3,0.19148936170212766,0.3000552742810806,0.0035184751276660675,0.0008660085104880155,0.10717670129049088,0.6588613675660753,0.3825185685515967,0.0016212011318261768,0.2260891475786348,0.3755923808111167,0.16723428424956335,0
0.17120792374204763,0.6053346586344351,0.07279898493825004,0.08785046644772887,0.25,0.14893617021276595,0.06879445893544488,0.0004968313961502216,0.002003839893902775,0.00654054705445694,0.09577829938145653,0.911196224773389,0.0015747744759157794,0.08797469472512537,0.05999478478556763,0.6068261510845583,0
0.15918335038960785,0.6259707549149908,0.10156918134396643,0.11532608908539439,0.40740740740740744,0.23404255319148937,0.09247767181842789,0.00036958445339978517,0.001416210242158627,0.006884208641352987,0.10033723957407695,0.9069158442184198,0.0011182219214559879,0.11524885080453826,0.08153639253391144,0.7539531690476383,0
0.08521827460488451,0.7727881857175914,0.26159567844450315,0.16238354506053423,0.44,0.23404255319148937,0.20397305502818217,0.001005179055577254,0.0016403761752565597,0.016164714501741728,0.20907770714478194,0.804819619380607,0.0014595270837843653,0.15960205734082553,0.22606659601049542,0.3044149785484155,0
0.08270992659688614,0.7784638634296505,0.13755780492725095,0.10425364799236435,0.5,0.2553191489361702,0.10853667994231284,0.005011388288331177,0.0026229898827855734,0.050399879601624384,0.46060229658991236,0.5686636453451718,0.0033029987624458514,0.10422821378730612,0.15975536426344386,0.6068261510845583,0
