Quy Mô Data,Model,Accuracy,Recall (Sensitivity),F1-Score,ROC-AUC,False Negative (FN)
1360 Mẫu,Stacking Ensemble (Meta-Learner),0.9779411764705882,0.9865771812080537,0.98,0.9939979265564468,2
4083 Mẫu,Stacking Ensemble (Meta-Learner),0.9865361077111383,0.9910714285714286,0.9877641824249166,0.9991652148664343,4
8165 Mẫu,Neural Network / MLP,0.9871402327005512,0.9977653631284916,0.9883785279468733,0.9978531740624669,2
16358 Mẫu,XGBoost (Tuned),0.9862469437652812,0.9960959286112661,0.9875587503455903,0.9979308761025807,7
