variant,split,rows,subjects,AUROC,PR_AUC,Brier,TP,TN,FP,FN,sensitivity,specificity
13F_NO_PPG_AC,ALL_DEEPBEAT,25230,128,0.8136111975875358,0.7574961395344619,0.20332248434003478,5808,13239,1555,4628,0.556535070908394,0.8948898201973773
13F_NO_PPG_AC,train,19841,108,0.8095664139747825,0.7889806525371401,0.2241445896477047,5134,9415,1110,4182,0.551094890510949,0.8945368171021377
13F_NO_PPG_AC,dev,4026,13,0.7418488810732937,0.24532940752842136,0.14200734303181345,134,3154,363,375,0.2632612966601179,0.8967870344043218
13F_NO_PPG_AC,test,1363,7,0.9526391162029461,0.9232201454392696,0.08132935704540567,540,670,82,71,0.88379705400982,0.8909574468085106
14F_WITH_PPG_AC,ALL_DEEPBEAT,25230,128,0.8383643904459626,0.8289433257877925,0.1898499831488984,5546,14297,497,4890,0.5314296665389038,0.9664052994457213
14F_WITH_PPG_AC,train,19841,108,0.8353840556282502,0.848436354558394,0.21850812338671127,4807,10170,355,4509,0.5159939888364105,0.966270783847981
14F_WITH_PPG_AC,dev,4026,13,0.7309330543255241,0.40681883963550813,0.09786401185035959,168,3407,110,341,0.3300589390962672,0.9687233437588855
14F_WITH_PPG_AC,test,1363,7,0.9836616812341122,0.9738270856197347,0.04438362950947911,571,720,32,40,0.9345335515548282,0.9574468085106383
