challenge,windows,mean_probability,median_probability,p90_probability,p95_probability,max_probability,mean_ensemble_std,FP_count_ge_0_5,FPR_ge_0_5,FP_count_ge_0_7,FPR_ge_0_7,FP_count_ge_0_8,FPR_ge_0_8,FP_count_ge_0_9,FPR_ge_0_9,FP_count_ge_0_95,FPR_ge_0_95
PULSEWATCH_PAC_PVC_TEST,264,0.08265999754934102,0.03223131544721186,0.15985098121367813,0.398830675950665,0.9370715438019569,0.038658475539984936,12,0.045454545454545456,8,0.030303030303030304,4,0.015151515151515152,2,0.007575757575757576,0,0.0
PEAKDET_PAC_PVC,50,0.2223925091538662,0.06280515158914109,0.9222106031414943,0.9415013436033876,0.9558266329414077,0.07436563712779709,9,0.18,9,0.18,7,0.14,6,0.12,2,0.04
