split,subjects,rows,AF_windows,nonAF_windows,AUROC,PR_AUC,Brier,TP,TN,FP,FN,sensitivity,specificity
dev,13,4026,509,3517,0.7309330543255241,0.40681883963550813,0.0978640118503596,168,3407,110,341,0.3300589390962672,0.9687233437588855
test,7,1363,611,752,0.9836616812341122,0.9738270856197347,0.04438362950947911,571,720,32,40,0.9345335515548282,0.9574468085106383
train,108,19841,9316,10525,0.8353840556282502,0.848436354558394,0.2185081233867113,4807,10170,355,4509,0.5159939888364105,0.966270783847981
