split,method,rows,subjects,AUROC,PR_AUC,Brier,TP,TN,FP,FN,sensitivity,specificity
dev,LODO_NO_DEEPBEAT,4026,13,0.7309330543255241,0.40681883963550813,0.0978640118503596,168,3407,110,341,0.3300589390962672,0.9687233437588855
dev,FULL_WITH_DEEPBEAT_TRAIN,4026,13,0.807878991348784,0.43345557740420715,0.11226755477876577,226,3222,295,283,0.444007858546169,0.9161216946261018
test,LODO_NO_DEEPBEAT,1363,7,0.9836616812341122,0.9738270856197347,0.04438362950947911,571,720,32,40,0.9345335515548282,0.9574468085106383
test,FULL_WITH_DEEPBEAT_TRAIN,1363,7,0.9903911446181703,0.9889661135717717,0.058315144226885586,600,645,107,11,0.9819967266775778,0.8577127659574468
DEV_TEST_COMBINED,LODO_NO_DEEPBEAT,5389,20,0.8682570357728474,0.7719439351072581,0.0843376134219647,739,4127,142,381,0.6598214285714286,0.9667369407355353
DEV_TEST_COMBINED,FULL_WITH_DEEPBEAT_TRAIN,5389,20,0.9027247933607736,0.8048929720017384,0.09862176973845908,826,3867,402,294,0.7375,0.9058327477160928
