model,rows,AF_windows,nonAF_windows,AUROC,PR_AUC,Brier,TP,TN,FP,FN,sensitivity,specificity
STACK,25230,10436,14794,0.8383643904459626,0.8289433257877925,0.18984998314889842,5546,14297,497,4890,0.5314296665389038,0.9664052994457213
ExtraTrees,25230,10436,14794,0.8387652967626492,0.8239787888605963,0.1734306609591756,5827,14167,627,4609,0.5583556918359525,0.9576179532242801
RandomForest,25230,10436,14794,0.8416592015979463,0.8284669581771736,0.16722048450257632,6029,14115,679,4407,0.5777117669605213,0.9541030147357037
XGBoost,25230,10436,14794,0.8335214886459361,0.8236595080109121,0.18771602190676845,5660,14182,612,4776,0.5423533921042545,0.9586318777882925
