split,delta_AUROC,delta_PR_AUC,brier_improvement,delta_sensitivity,delta_specificity
ALL_DEEPBEAT,0.02475319285842681,0.07144718625333057,0.013472501191136382,-0.02510540436949027,0.071515479248344
train,0.025817641653467782,0.05945570202125383,0.005636466260993428,-0.0351009016745385,0.07173396674584331
dev,-0.010915826747769586,0.16148943210708677,0.04414333118145386,0.06679764243614933,0.07193630935456363
test,0.031022565031166183,0.05060694018046519,0.03694572753592656,0.0507364975450082,0.06648936170212771
