feature,TP_n,FN_n,TP_median,FN_median,FN_minus_TP_robust_shift,abs_shift,KS_statistic,KS_pvalue
PPG_AC,5546,4890,0.0703839542607188,0.18156910559888362,1.5338174215268714,1.5338174215268714,0.740279882625109,0.0
CV,5546,4890,0.28851350638374684,0.17549404985689335,-0.9695786058714855,0.9695786058714855,0.5021929989520626,0.0
NN50,5546,4890,26.0,19.0,-0.9333333333332089,0.9333333333332089,0.5156900789603517,0.0
pNN50,5546,4890,87.8048780487805,71.8349358974359,-0.7843231954150538,0.7843231954150538,0.5264689376156437,0.0
RMSSD,5546,4890,310.24279409424753,210.2176512883893,-0.7777809478005673,0.7777809478005673,0.4160286490309344,8.94e-322
SD1,5546,4890,223.00452730824037,151.47441260094132,-0.7701220107818878,0.7701220107818878,0.4131394096004637,1.17e-321
SampEn,5546,4890,0.0,0.9614111671546248,0.7397644279187158,0.7397644279187158,0.31306138582902476,1.6160825745472644e-225
Total_Power,5546,4890,29832.278248455586,8507.135580123413,-0.7350123294158387,0.7350123294158387,0.4211430408769341,4.1e-322
SDNN,5546,4890,226.75149883698722,152.13204603451533,-0.7180846899187926,0.7180846899187926,0.4072108566611874,1.724e-321
HF,5546,4890,17764.840026517697,5681.158881437362,-0.699150216816841,0.699150216816841,0.40449529018132047,1.98e-321
SD2,5546,4890,226.29551933801824,147.50616266013265,-0.6402026180491855,0.6402026180491855,0.3985622387070178,2.53e-321
Mean_NN,5546,4890,787.5,859.375,0.4074163788820968,0.4074163788820968,0.2522678884982784,1.0085647803036943e-145
HR_mean,5546,4890,76.19047619047619,69.81818181818181,-0.39859654760201335,0.39859654760201335,0.25226788849827836,1.0085647803036943e-145
HF_norm,5546,4890,74.10502400727565,83.46959494228011,0.36945717744556655,0.36945717744556655,0.23145412563597123,1.5760179566381854e-122
