source_split,label_eval,windows,lodo_mean,full_mean,mean_gain,median_gain
dev,0,3517,0.04561497824080827,0.14194764521208214,0.09633266697127386,0.03124411314008632
dev,1,509,0.31618366338735143,0.4605885963188106,0.14440493293145912,0.08234253970740402
test,0,752,0.05830770815321473,0.18712707259642375,0.12881936444320902,0.05298425872650033
test,1,611,0.8559218342433187,0.9272382756140705,0.07131644137075183,0.016931666370634146
