Direction,Model,Accuracy_v4,Accuracy_v5,Accuracy_delta,Recall (Sensitivity)_v4,Recall (Sensitivity)_v5,Recall (Sensitivity)_delta,Specificity_v4,Specificity_v5,Specificity_delta,F1-Score_v4,F1-Score_v5,F1-Score_delta,ROC-AUC_v4,ROC-AUC_v5,ROC-AUC_delta
MIMIC -> AFDB,Logistic Regression,0.938380098951666,0.9436555996380596,0.005275500686393597,0.96514745308311,0.9793122221214046,0.014164769038294556,0.9214701067012928,0.9214701067012928,0.0,0.9238270390488004,0.9302305537599656,0.006403514711165181,0.9721040780951492,0.975658342559615,0.0035542644644658283
MIMIC -> AFDB,Random Forest,0.9382763034979068,0.9435163917310504,0.005240088233143592,0.9563002680965148,0.970238635332547,0.013938367236032145,0.926889854908824,0.926889854908824,0.0,0.9230570171655308,0.9294623842844104,0.0064053671188796235,0.984557978274087,0.986683262763866,0.002125284489779
MIMIC -> AFDB,XGBoost,0.9456457807148048,0.9507552028955244,0.005109422180719636,0.9698838248436104,0.9835768079121676,0.013692983068557263,0.9303336532490262,0.9303336532490262,0.0,0.9325084847703742,0.9387313271270836,0.006222842356709446,0.9869949528393008,0.9904032181998664,0.003408265360565599
AFDB -> MIMIC,Logistic Regression,0.9123486682808716,0.910411622276029,-0.0019370460048425686,0.9701159678858162,0.971900089206066,0.001784121320249743,0.84375,0.8373940677966102,-0.006355932203389814,0.9231748726655348,0.9217428087986465,-0.0014320638668883223,0.8760923963168479,0.8807262214805183,0.004633825163670391
AFDB -> MIMIC,Random Forest,0.91864406779661,0.9334140435835352,0.014769975786925182,0.9736842105263158,0.971900089206066,-0.001784121320249854,0.8532838983050848,0.8877118644067796,0.03442796610169485,0.9285410463632496,0.940643211741852,0.012102165378602314,0.9757302092940624,0.9787608767141928,0.003030667420130362
AFDB -> MIMIC,XGBoost,0.9145278450363196,0.9213075060532688,0.006779661016949268,0.9754683318465656,0.9736842105263158,-0.001784121320249743,0.8421610169491526,0.8591101694915254,0.016949152542372836,0.9253226147662366,0.930718396930292,0.0053957821640554515,0.9685406870379052,0.9714613824672282,0.0029206954293230503
